C,epsilon,error_ma,error_ms,Actual Values,Predctied values
3000,0.1,1.4142223446019955,2.0000248399715654,[174.727],[173.31277766]
3000,0.1,0.9160837814486626,0.8392094946332811,[174.384],[173.46791622]
3000,0.2,0.4766268414894341,0.22717314602819416,[174.384],[174.86062684]
3000,0.2,0.25173854929758477,0.06337229720245252,[174.384],[174.63573855]
3000,0.2,0.5450632554777428,0.2970939524719951,[174.384],[174.92906326]
3000,0.2,0.3307569733779019,0.10940017543811009,[174.384],[174.71475697]
3000,0.2,0.20014745510064813,0.04005900378326596,[174.384],[174.58414746]
3000,0.1,0.3455999772575069,0.1194393442803893,[174.384],[174.72959998]
3000,0.2,0.2887494811832596,0.08337626288360159,[174.384],[174.67274948]
3000,0.1,1.5420150636368817,2.3778104564830564,[174.727],[173.18498494]
